transaction_id,ts,hour,user_id,amount,merchant,is_new_device,is_new_location,merchant_risk,txn_freq_1h,decision,risk_score,reasons,label
TXN_100000,2026-09-19 22:54:50,22,U5506,178.28,Swiggy,0,0,0.05,0,REAL,0.05,No strong risk signals detected,0
TXN_100001,2026-09-20 16:48:37,16,U9279,2954.54,BookMyShow,0,0,0.1,1,REAL,0.05,No strong risk signals detected,0
TXN_100002,2026-09-20 18:13:00,18,U3615,1912.04,Google Pay,0,0,0.05,1,REAL,0.05,No strong risk signals detected,0
TXN_100003,2026-09-20 07:07:29,7,U5333,1480.03,IRCTC,0,0,0.05,1,REAL,0.05,No strong risk signals detected,0
TXN_100004,2026-09-19 22:21:55,22,U6925,22106.35,Flipkart,0,0,0.05,0,REAL,0.17,No strong risk signals detected,0
TXN_100005,2026-09-20 15:37:34,15,U8428,3424.07,Google Pay,0,0,0.05,0,REAL,0.05,No strong risk signals detected,0
TXN_100006,2026-09-20 16:23:11,16,U3803,4217.4,Zomato,0,0,0.05,0,REAL,0.05,No strong risk signals detected,0
TXN_100007,2026-09-20 17:46:59,17,U1525,2506.17,Paytm,0,0,0.08,1,REAL,0.05,No strong risk signals detected,0
TXN_100008,2026-09-19 22:32:42,22,U5339,2009.01,BookMyShow,0,0,0.1,1,REAL,0.05,No strong risk signals detected,0
TXN_100009,2026-09-20 11:53:19,11,U9085,2122.36,Amazon Pay,0,0,0.05,0,REAL,0.05,No strong risk signals detected,0
TXN_100010,2026-09-20 16:37:27,16,U8668,2694.11,BookMyShow,0,1,0.1,0,REAL,0.2,New device / location,0
TXN_100011,2026-09-20 10:12:10,10,U6573,20239.24,Paytm,0,1,0.08,0,REAL,0.32,New device / location,0
TXN_100012,2026-09-20 02:03:45,2,U5889,3897.56,BookMyShow,0,0,0.1,0,REAL,0.15,Unusual time pattern (late night),0
TXN_100013,2026-09-20 02:03:51,2,U6310,1219.54,Flipkart,0,0,0.05,0,REAL,0.15,Unusual time pattern (late night),0
TXN_100014,2026-09-20 00:56:46,0,U8962,842.33,BookMyShow,0,0,0.1,2,REAL,0.15,Unusual time pattern (late night),0
TXN_100015,2026-09-20 02:06:13,2,U7932,3365.0,BookMyShow,0,0,0.1,0,REAL,0.15,Unusual time pattern (late night),0
